order_id,participant,zone,type,side,hour,quantity_mw,price,mar,parent_id,exclusive_group,cross_border
CI_D_24,CIE,CI,hourly,buy,24,1080,1300.0,,,,
GN_D_01,EDG,GN,hourly,buy,1,415,1300.0,,,,
GN_D_02,EDG,GN,hourly,buy,2,415,1300.0,,,,
GN_D_03,EDG,GN,hourly,buy,3,415,1300.0,,,,
GN_D_04,EDG,GN,hourly,buy,4,415,1300.0,,,,
GN_D_05,EDG,GN,hourly,buy,5,415,1300.0,,,,
GN_D_06,EDG,GN,hourly,buy,6,420,1300.0,,,,
GN_D_07,EDG,GN,hourly,buy,7,434,1300.0,,,,
GN_D_08,EDG,GN,hourly,buy,8,458,1300.0,,,,
GN_D_09,EDG,GN,hourly,buy,9,488,1300.0,,,,
GN_D_10,EDG,GN,hourly,buy,10,523,1300.0,,,,
GN_D_11,EDG,GN,hourly,buy,11,560,1300.0,,,,
GN_D_12,EDG,GN,hourly,buy,12,598,1300.0,,,,
GN_D_13,EDG,GN,hourly,buy,13,633,1300.0,,,,
GN_D_14,EDG,GN,hourly,buy,14,663,1300.0,,,,
GN_D_15,EDG,GN,hourly,buy,15,686,1300.0,,,,
GN_D_16,EDG,GN,hourly,buy,16,701,1300.0,,,,
GN_D_17,EDG,GN,hourly,buy,17,706,1300.0,,,,
GN_D_18,EDG,GN,hourly,buy,18,763,1300.0,,,,
GN_D_19,EDG,GN,hourly,buy,19,811,1300.0,,,,
GN_D_20,EDG,GN,hourly,buy,20,787,1300.0,,,,
GN_D_21,EDG,GN,hourly,buy,21,757,1300.0,,,,
GN_D_22,EDG,GN,hourly,buy,22,722,1300.0,,,,
GN_D_23,EDG,GN,hourly,buy,23,622,1300.0,,,,
GN_D_24,EDG,GN,hourly,buy,24,415,1300.0,,,,
SN_HYD_01,SENELEC,SN,hourly,sell,1,127,33,,,,
SN_HYD_02,SENELEC,SN,hourly,sell,2,127,33,,,,
SN_HYD_03,SENELEC,SN,hourly,sell,3,127,33,,,,
SN_HYD_04,SENELEC,SN,hourly,sell,4,127,33,,,,
SN_HYD_05,SENELEC,SN,hourly,sell,5,127,33,,,,
SN_HYD_06,SENELEC,SN,hourly,sell,6,127,33,,,,
SN_HYD_07,SENELEC,SN,hourly,sell,7,127,33,,,,
SN_HYD_08,SENELEC,SN,hourly,sell,8,127,33,,,,
SN_HYD_09,SENELEC,SN,hourly,sell,9,127,33,,,,
SN_HYD_10,SENELEC,SN,hourly,sell,10,127,33,,,,
SN_HYD_11,SENELEC,SN,hourly,sell,11,127,33,,,,
SN_HYD_12,SENELEC,SN,hourly,sell,12,127,33,,,,
SN_HYD_13,SENELEC,SN,hourly,sell,13,127,33,,,,
SN_HYD_14,SENELEC,SN,hourly,sell,14,127,33,,,,
SN_HYD_15,SENELEC,SN,hourly,sell,15,127,33,,,,
SN_HYD_16,SENELEC,SN,hourly,sell,16,127,33,,,,
SN_HYD_17,SENELEC,SN,hourly,sell,17,127,33,,,,
SN_HYD_18,SENELEC,SN,hourly,sell,18,127,33,,,,
SN_HYD_19,SENELEC,SN,hourly,sell,19,127,33,,,,
SN_HYD_20,SENELEC,SN,hourly,sell,20,127,33,,,,
SN_HYD_21,SENELEC,SN,hourly,sell,21,127,33,,,,
SN_HYD_22,SENELEC,SN,hourly,sell,22,127,33,,,,
SN_HYD_23,SENELEC,SN,hourly,sell,23,127,33,,,,
SN_HYD_24,SENELEC,SN,hourly,sell,24,127,33,,,,
SN_SOL_08,SN_IPP_SOL,SN,hourly,sell,8,52,1,,,,
SN_SOL_09,SN_IPP_SOL,SN,hourly,sell,9,100,1,,,,
SN_SOL_10,SN_IPP_SOL,SN,hourly,sell,10,141,1,,,,
SN_SOL_11,SN_IPP_SOL,SN,hourly,sell,11,173,1,,,,
SN_SOL_12,SN_IPP_SOL,SN,hourly,sell,12,193,1,,,,
SN_SOL_13,SN_IPP_SOL,SN,hourly,sell,13,200,1,,,,
SN_SOL_14,SN_IPP_SOL,SN,hourly,sell,14,193,1,,,,
SN_SOL_15,SN_IPP_SOL,SN,hourly,sell,15,173,1,,,,
SN_SOL_16,SN_IPP_SOL,SN,hourly,sell,16,141,1,,,,
SN_SOL_17,SN_IPP_SOL,SN,hourly,sell,17,100,1,,,,
SN_SOL_18,SN_IPP_SOL,SN,hourly,sell,18,52,1,,,,
SN_WIND_01,SN_IPP_WIND,SN,hourly,sell,1,55,1,,,,
SN_WIND_02,SN_IPP_WIND,SN,hourly,sell,2,55,1,,,,
SN_WIND_03,SN_IPP_WIND,SN,hourly,sell,3,55,1,,,,
SN_WIND_04,SN_IPP_WIND,SN,hourly,sell,4,55,1,,,,
SN_WIND_05,SN_IPP_WIND,SN,hourly,sell,5,55,1,,,,
SN_WIND_06,SN_IPP_WIND,SN,hourly,sell,6,55,1,,,,
SN_WIND_07,SN_IPP_WIND,SN,hourly,sell,7,55,1,,,,
SN_WIND_08,SN_IPP_WIND,SN,hourly,sell,8,55,1,,,,
SN_WIND_09,SN_IPP_WIND,SN,hourly,sell,9,55,1,,,,
SN_WIND_10,SN_IPP_WIND,SN,hourly,sell,10,55,1,,,,
SN_WIND_11,SN_IPP_WIND,SN,hourly,sell,11,55,1,,,,
SN_WIND_12,SN_IPP_WIND,SN,hourly,sell,12,55,1,,,,
SN_WIND_13,SN_IPP_WIND,SN,hourly,sell,13,55,1,,,,
SN_WIND_14,SN_IPP_WIND,SN,hourly,sell,14,55,1,,,,
SN_WIND_15,SN_IPP_WIND,SN,hourly,sell,15,55,1,,,,
SN_WIND_16,SN_IPP_WIND,SN,hourly,sell,16,55,1,,,,
SN_WIND_17,SN_IPP_WIND,SN,hourly,sell,17,55,1,,,,
SN_WIND_18,SN_IPP_WIND,SN,hourly,sell,18,55,1,,,,
SN_WIND_19,SN_IPP_WIND,SN,hourly,sell,19,55,1,,,,
SN_WIND_20,SN_IPP_WIND,SN,hourly,sell,20,55,1,,,,
SN_WIND_21,SN_IPP_WIND,SN,hourly,sell,21,55,1,,,,
SN_WIND_22,SN_IPP_WIND,SN,hourly,sell,22,55,1,,,,
SN_WIND_23,SN_IPP_WIND,SN,hourly,sell,23,55,1,,,,
SN_WIND_24,SN_IPP_WIND,SN,hourly,sell,24,55,1,,,,
SN_HFO_BA_01,SENELEC,SN,hourly,sell,1,200,125,,,,
SN_HFO_BA_02,SENELEC,SN,hourly,sell,2,200,125,,,,
SN_HFO_BA_03,SENELEC,SN,hourly,sell,3,200,125,,,,
SN_HFO_BA_04,SENELEC,SN,hourly,sell,4,200,125,,,,
SN_HFO_BA_05,SENELEC,SN,hourly,sell,5,200,125,,,,
SN_HFO_BA_06,SENELEC,SN,hourly,sell,6,200,125,,,,
SN_HFO_BA_07,SENELEC,SN,hourly,sell,7,200,125,,,,
SN_HFO_BA_08,SENELEC,SN,hourly,sell,8,200,125,,,,
SN_HFO_BA_09,SENELEC,SN,hourly,sell,9,200,125,,,,
SN_HFO_BA_10,SENELEC,SN,hourly,sell,10,200,125,,,,
SN_HFO_BA_11,SENELEC,SN,hourly,sell,11,200,125,,,,
SN_HFO_BA_12,SENELEC,SN,hourly,sell,12,200,125,,,,
SN_HFO_BA_13,SENELEC,SN,hourly,sell,13,200,125,,,,
SN_HFO_BA_14,SENELEC,SN,hourly,sell,14,200,125,,,,
SN_HFO_BA_15,SENELEC,SN,hourly,sell,15,200,125,,,,
SN_HFO_BA_16,SENELEC,SN,hourly,sell,16,200,125,,,,
SN_HFO_BA_17,SENELEC,SN,hourly,sell,17,200,125,,,,
SN_HFO_BA_18,SENELEC,SN,hourly,sell,18,200,125,,,,
SN_HFO_BA_19,SENELEC,SN,hourly,sell,19,200,125,,,,
SN_HFO_BA_20,SENELEC,SN,hourly,sell,20,200,125,,,,
SN_HFO_BA_21,SENELEC,SN,hourly,sell,21,200,125,,,,
SN_HFO_BA_22,SENELEC,SN,hourly,sell,22,200,125,,,,
SN_HFO_BA_23,SENELEC,SN,hourly,sell,23,200,125,,,,
SN_HFO_BA_24,SENELEC,SN,hourly,sell,24,200,125,,,,
SN_HFO_IPP_01,SN_IPP_HFO,SN,hourly,sell,1,100,147,,,,
SN_HFO_IPP_02,SN_IPP_HFO,SN,hourly,sell,2,100,147,,,,
SN_HFO_IPP_03,SN_IPP_HFO,SN,hourly,sell,3,100,147,,,,
SN_HFO_IPP_04,SN_IPP_HFO,SN,hourly,sell,4,100,147,,,,
SN_HFO_IPP_05,SN_IPP_HFO,SN,hourly,sell,5,100,147,,,,
SN_HFO_IPP_06,SN_IPP_HFO,SN,hourly,sell,6,100,147,,,,
SN_HFO_IPP_07,SN_IPP_HFO,SN,hourly,sell,7,100,147,,,,
SN_HFO_IPP_08,SN_IPP_HFO,SN,hourly,sell,8,100,147,,,,
SN_HFO_IPP_09,SN_IPP_HFO,SN,hourly,sell,9,100,147,,,,
SN_HFO_IPP_10,SN_IPP_HFO,SN,hourly,sell,10,100,147,,,,
SN_HFO_IPP_11,SN_IPP_HFO,SN,hourly,sell,11,100,147,,,,
SN_HFO_IPP_12,SN_IPP_HFO,SN,hourly,sell,12,100,147,,,,
SN_HFO_IPP_13,SN_IPP_HFO,SN,hourly,sell,13,100,147,,,,
SN_HFO_IPP_14,SN_IPP_HFO,SN,hourly,sell,14,100,147,,,,
SN_HFO_IPP_15,SN_IPP_HFO,SN,hourly,sell,15,100,147,,,,
SN_HFO_IPP_16,SN_IPP_HFO,SN,hourly,sell,16,100,147,,,,
SN_HFO_IPP_17,SN_IPP_HFO,SN,hourly,sell,17,100,147,,,,
SN_HFO_IPP_18,SN_IPP_HFO,SN,hourly,sell,18,100,147,,,,
SN_HFO_IPP_19,SN_IPP_HFO,SN,hourly,sell,19,100,147,,,,
SN_HFO_IPP_20,SN_IPP_HFO,SN,hourly,sell,20,100,147,,,,
SN_HFO_IPP_21,SN_IPP_HFO,SN,hourly,sell,21,100,147,,,,
SN_HFO_IPP_22,SN_IPP_HFO,SN,hourly,sell,22,100,147,,,,
SN_HFO_IPP_23,SN_IPP_HFO,SN,hourly,sell,23,100,147,,,,
SN_HFO_IPP_24,SN_IPP_HFO,SN,hourly,sell,24,100,147,,,,
SN_TAG_01,SENELEC,SN,hourly,sell,1,50,400,,,,
SN_TAG_02,SENELEC,SN,hourly,sell,2,50,400,,,,
SN_TAG_03,SENELEC,SN,hourly,sell,3,50,400,,,,
SN_TAG_04,SENELEC,SN,hourly,sell,4,50,400,,,,
SN_TAG_05,SENELEC,SN,hourly,sell,5,50,400,,,,
SN_TAG_06,SENELEC,SN,hourly,sell,6,50,400,,,,
SN_TAG_07,SENELEC,SN,hourly,sell,7,50,400,,,,
SN_TAG_08,SENELEC,SN,hourly,sell,8,50,400,,,,
SN_TAG_09,SENELEC,SN,hourly,sell,9,50,400,,,,
SN_TAG_10,SENELEC,SN,hourly,sell,10,50,400,,,,
SN_TAG_11,SENELEC,SN,hourly,sell,11,50,400,,,,
SN_TAG_12,SENELEC,SN,hourly,sell,12,50,400,,,,
SN_TAG_13,SENELEC,SN,hourly,sell,13,50,400,,,,
SN_TAG_14,SENELEC,SN,hourly,sell,14,50,400,,,,
SN_TAG_15,SENELEC,SN,hourly,sell,15,50,400,,,,
SN_TAG_16,SENELEC,SN,hourly,sell,16,50,400,,,,
SN_TAG_17,SENELEC,SN,hourly,sell,17,50,400,,,,
SN_TAG_18,SENELEC,SN,hourly,sell,18,50,400,,,,
SN_TAG_19,SENELEC,SN,hourly,sell,19,50,400,,,,
SN_TAG_20,SENELEC,SN,hourly,sell,20,50,400,,,,
SN_TAG_21,SENELEC,SN,hourly,sell,21,50,400,,,,
SN_TAG_22,SENELEC,SN,hourly,sell,22,50,400,,,,
SN_TAG_23,SENELEC,SN,hourly,sell,23,50,400,,,,
SN_TAG_24,SENELEC,SN,hourly,sell,24,50,400,,,,
SN_LOC_01,SN_IPP_LOC,SN,hourly,sell,1,200,135,,,,
SN_LOC_02,SN_IPP_LOC,SN,hourly,sell,2,200,135,,,,
SN_LOC_03,SN_IPP_LOC,SN,hourly,sell,3,200,135,,,,
SN_LOC_04,SN_IPP_LOC,SN,hourly,sell,4,200,135,,,,
SN_LOC_05,SN_IPP_LOC,SN,hourly,sell,5,200,135,,,,
SN_LOC_06,SN_IPP_LOC,SN,hourly,sell,6,200,135,,,,
SN_LOC_07,SN_IPP_LOC,SN,hourly,sell,7,200,135,,,,
SN_LOC_08,SN_IPP_LOC,SN,hourly,sell,8,200,135,,,,
SN_LOC_09,SN_IPP_LOC,SN,hourly,sell,9,200,135,,,,
SN_LOC_10,SN_IPP_LOC,SN,hourly,sell,10,200,135,,,,
SN_LOC_11,SN_IPP_LOC,SN,hourly,sell,11,200,135,,,,
SN_LOC_12,SN_IPP_LOC,SN,hourly,sell,12,200,135,,,,
SN_LOC_13,SN_IPP_LOC,SN,hourly,sell,13,200,135,,,,
SN_LOC_14,SN_IPP_LOC,SN,hourly,sell,14,200,135,,,,
SN_LOC_15,SN_IPP_LOC,SN,hourly,sell,15,200,135,,,,
SN_LOC_16,SN_IPP_LOC,SN,hourly,sell,16,200,135,,,,
SN_LOC_17,SN_IPP_LOC,SN,hourly,sell,17,200,135,,,,
SN_LOC_18,SN_IPP_LOC,SN,hourly,sell,18,200,135,,,,
SN_LOC_19,SN_IPP_LOC,SN,hourly,sell,19,200,135,,,,
SN_LOC_20,SN_IPP_LOC,SN,hourly,sell,20,200,135,,,,
SN_LOC_21,SN_IPP_LOC,SN,hourly,sell,21,200,135,,,,
SN_LOC_22,SN_IPP_LOC,SN,hourly,sell,22,200,135,,,,
SN_LOC_23,SN_IPP_LOC,SN,hourly,sell,23,200,135,,,,
SN_LOC_24,SN_IPP_LOC,SN,hourly,sell,24,200,135,,,,
SN_KAH_01,SENELEC,SN,hourly,sell,1,100,150,,,,
SN_KAH_02,SENELEC,SN,hourly,sell,2,100,150,,,,
SN_KAH_03,SENELEC,SN,hourly,sell,3,100,150,,,,
SN_KAH_04,SENELEC,SN,hourly,sell,4,100,150,,,,
SN_KAH_05,SENELEC,SN,hourly,sell,5,100,150,,,,
SN_KAH_06,SENELEC,SN,hourly,sell,6,100,150,,,,
SN_KAH_07,SENELEC,SN,hourly,sell,7,100,150,,,,
SN_KAH_08,SENELEC,SN,hourly,sell,8,100,150,,,,
SN_KAH_09,SENELEC,SN,hourly,sell,9,100,150,,,,
SN_KAH_10,SENELEC,SN,hourly,sell,10,100,150,,,,
SN_KAH_11,SENELEC,SN,hourly,sell,11,100,150,,,,
SN_KAH_12,SENELEC,SN,hourly,sell,12,100,150,,,,
SN_KAH_13,SENELEC,SN,hourly,sell,13,100,150,,,,
SN_KAH_14,SENELEC,SN,hourly,sell,14,100,150,,,,
SN_KAH_15,SENELEC,SN,hourly,sell,15,100,150,,,,
SN_KAH_16,SENELEC,SN,hourly,sell,16,100,150,,,,
SN_KAH_17,SENELEC,SN,hourly,sell,17,100,150,,,,
SN_KAH_18,SENELEC,SN,hourly,sell,18,100,150,,,,
SN_KAH_19,SENELEC,SN,hourly,sell,19,100,150,,,,
SN_KAH_20,SENELEC,SN,hourly,sell,20,100,150,,,,
SN_KAH_21,SENELEC,SN,hourly,sell,21,100,150,,,,
SN_KAH_22,SENELEC,SN,hourly,sell,22,100,150,,,,
SN_KAH_23,SENELEC,SN,hourly,sell,23,100,150,,,,
SN_KAH_24,SENELEC,SN,hourly,sell,24,100,150,,,,
ML_HYD_01,EDM,ML,hourly,sell,1,191,33,,,,
ML_HYD_02,EDM,ML,hourly,sell,2,191,33,,,,
ML_HYD_03,EDM,ML,hourly,sell,3,191,33,,,,
ML_HYD_04,EDM,ML,hourly,sell,4,191,33,,,,
ML_HYD_05,EDM,ML,hourly,sell,5,191,33,,,,
ML_HYD_06,EDM,ML,hourly,sell,6,191,33,,,,
ML_HYD_07,EDM,ML,hourly,sell,7,191,33,,,,
ML_HYD_08,EDM,ML,hourly,sell,8,191,33,,,,
ML_HYD_09,EDM,ML,hourly,sell,9,191,33,,,,
ML_HYD_10,EDM,ML,hourly,sell,10,191,33,,,,
ML_HYD_11,EDM,ML,hourly,sell,11,191,33,,,,
ML_HYD_12,EDM,ML,hourly,sell,12,191,33,,,,
ML_HYD_13,EDM,ML,hourly,sell,13,191,33,,,,
ML_HYD_14,EDM,ML,hourly,sell,14,191,33,,,,
ML_HYD_15,EDM,ML,hourly,sell,15,191,33,,,,
ML_HYD_16,EDM,ML,hourly,sell,16,191,33,,,,
ML_HYD_17,EDM,ML,hourly,sell,17,191,33,,,,
ML_HYD_18,EDM,ML,hourly,sell,18,191,33,,,,
ML_HYD_19,EDM,ML,hourly,sell,19,191,33,,,,
ML_HYD_20,EDM,ML,hourly,sell,20,191,33,,,,
ML_HYD_21,EDM,ML,hourly,sell,21,191,33,,,,
ML_HYD_22,EDM,ML,hourly,sell,22,191,33,,,,
ML_HYD_23,EDM,ML,hourly,sell,23,191,33,,,,
ML_HYD_24,EDM,ML,hourly,sell,24,191,33,,,,
ML_SOL_08,ML_IPP_SOL,ML,hourly,sell,8,10,1,,,,
ML_SOL_09,ML_IPP_SOL,ML,hourly,sell,9,19,1,,,,
ML_SOL_10,ML_IPP_SOL,ML,hourly,sell,10,27,1,,,,
ML_SOL_11,ML_IPP_SOL,ML,hourly,sell,11,32,1,,,,
ML_SOL_12,ML_IPP_SOL,ML,hourly,sell,12,36,1,,,,
ML_SOL_13,ML_IPP_SOL,ML,hourly,sell,13,38,1,,,,
ML_SOL_14,ML_IPP_SOL,ML,hourly,sell,14,36,1,,,,
ML_SOL_15,ML_IPP_SOL,ML,hourly,sell,15,32,1,,,,
ML_SOL_16,ML_IPP_SOL,ML,hourly,sell,16,27,1,,,,
ML_SOL_17,ML_IPP_SOL,ML,hourly,sell,17,19,1,,,,
ML_SOL_18,ML_IPP_SOL,ML,hourly,sell,18,10,1,,,,
ML_HFO_DAR_01,EDM,ML,hourly,sell,1,60,220,,,,
ML_HFO_DAR_02,EDM,ML,hourly,sell,2,60,220,,,,
ML_HFO_DAR_03,EDM,ML,hourly,sell,3,60,220,,,,
ML_HFO_DAR_04,EDM,ML,hourly,sell,4,60,220,,,,
ML_HFO_DAR_05,EDM,ML,hourly,sell,5,60,220,,,,
ML_HFO_DAR_06,EDM,ML,hourly,sell,6,60,220,,,,
ML_HFO_DAR_07,EDM,ML,hourly,sell,7,60,220,,,,
ML_HFO_DAR_08,EDM,ML,hourly,sell,8,60,220,,,,
ML_HFO_DAR_09,EDM,ML,hourly,sell,9,60,220,,,,
ML_HFO_DAR_10,EDM,ML,hourly,sell,10,60,220,,,,
ML_HFO_DAR_11,EDM,ML,hourly,sell,11,60,220,,,,
ML_HFO_DAR_12,EDM,ML,hourly,sell,12,60,220,,,,
ML_HFO_DAR_13,EDM,ML,hourly,sell,13,60,220,,,,
ML_HFO_DAR_14,EDM,ML,hourly,sell,14,60,220,,,,
ML_HFO_DAR_15,EDM,ML,hourly,sell,15,60,220,,,,
ML_HFO_DAR_16,EDM,ML,hourly,sell,16,60,220,,,,
ML_HFO_DAR_17,EDM,ML,hourly,sell,17,60,220,,,,
ML_HFO_DAR_18,EDM,ML,hourly,sell,18,60,220,,,,
ML_HFO_DAR_19,EDM,ML,hourly,sell,19,60,220,,,,
ML_HFO_DAR_20,EDM,ML,hourly,sell,20,60,220,,,,
ML_HFO_DAR_21,EDM,ML,hourly,sell,21,60,220,,,,
ML_HFO_DAR_22,EDM,ML,hourly,sell,22,60,220,,,,
ML_HFO_DAR_23,EDM,ML,hourly,sell,23,60,220,,,,
ML_HFO_DAR_24,EDM,ML,hourly,sell,24,60,220,,,,
ML_DSL_01,EDM,ML,hourly,sell,1,40,320,,,,
ML_DSL_02,EDM,ML,hourly,sell,2,40,320,,,,
ML_DSL_03,EDM,ML,hourly,sell,3,40,320,,,,
ML_DSL_04,EDM,ML,hourly,sell,4,40,320,,,,
ML_DSL_05,EDM,ML,hourly,sell,5,40,320,,,,
ML_DSL_06,EDM,ML,hourly,sell,6,40,320,,,,
ML_DSL_07,EDM,ML,hourly,sell,7,40,320,,,,
ML_DSL_08,EDM,ML,hourly,sell,8,40,320,,,,
ML_DSL_09,EDM,ML,hourly,sell,9,40,320,,,,
ML_DSL_10,EDM,ML,hourly,sell,10,40,320,,,,
ML_DSL_11,EDM,ML,hourly,sell,11,40,320,,,,
ML_DSL_12,EDM,ML,hourly,sell,12,40,320,,,,
ML_DSL_13,EDM,ML,hourly,sell,13,40,320,,,,
ML_DSL_14,EDM,ML,hourly,sell,14,40,320,,,,
ML_DSL_15,EDM,ML,hourly,sell,15,40,320,,,,
ML_DSL_16,EDM,ML,hourly,sell,16,40,320,,,,
ML_DSL_17,EDM,ML,hourly,sell,17,40,320,,,,
ML_DSL_18,EDM,ML,hourly,sell,18,40,320,,,,
ML_DSL_19,EDM,ML,hourly,sell,19,40,320,,,,
ML_DSL_20,EDM,ML,hourly,sell,20,40,320,,,,
ML_DSL_21,EDM,ML,hourly,sell,21,40,320,,,,
ML_DSL_22,EDM,ML,hourly,sell,22,40,320,,,,
ML_DSL_23,EDM,ML,hourly,sell,23,40,320,,,,
ML_DSL_24,EDM,ML,hourly,sell,24,40,320,,,,
CI_HYD_ROR_01,CIE,CI,hourly,sell,1,350,33,,,,
CI_HYD_ROR_02,CIE,CI,hourly,sell,2,350,33,,,,
CI_HYD_ROR_03,CIE,CI,hourly,sell,3,350,33,,,,
CI_HYD_ROR_04,CIE,CI,hourly,sell,4,350,33,,,,
CI_HYD_ROR_05,CIE,CI,hourly,sell,5,350,33,,,,
CI_HYD_ROR_06,CIE,CI,hourly,sell,6,350,33,,,,
CI_HYD_ROR_07,CIE,CI,hourly,sell,7,350,33,,,,
CI_HYD_ROR_08,CIE,CI,hourly,sell,8,350,33,,,,
CI_HYD_ROR_09,CIE,CI,hourly,sell,9,350,33,,,,
CI_HYD_ROR_10,CIE,CI,hourly,sell,10,350,33,,,,
CI_HYD_ROR_11,CIE,CI,hourly,sell,11,350,33,,,,
CI_HYD_ROR_12,CIE,CI,hourly,sell,12,350,33,,,,
CI_HYD_ROR_13,CIE,CI,hourly,sell,13,350,33,,,,
CI_HYD_ROR_14,CIE,CI,hourly,sell,14,350,33,,,,
CI_HYD_ROR_15,CIE,CI,hourly,sell,15,350,33,,,,
CI_HYD_ROR_16,CIE,CI,hourly,sell,16,350,33,,,,
CI_HYD_ROR_17,CIE,CI,hourly,sell,17,350,33,,,,
CI_HYD_ROR_18,CIE,CI,hourly,sell,18,350,33,,,,
CI_HYD_ROR_19,CIE,CI,hourly,sell,19,350,33,,,,
CI_HYD_ROR_20,CIE,CI,hourly,sell,20,350,33,,,,
CI_HYD_ROR_21,CIE,CI,hourly,sell,21,350,33,,,,
